id,expense_name,category_id,project_id,accountId,trip_id,manager_id,expense_date,expense_quantity,unit_currency_id,unit_amount,expense_currency_id,expense_amount,expense_conversion_rate,application_currency_id,application_amount,advance_amount,return_amount,is_reimbursable,is_from_advance,expense_payment_id,expense_payment_ref_no,description,status,createdby,modifiedby,createddate,modifieddate,isactive
17,"Service Charges",13,90,64,0,528,2021-02-12,,0,,4,780.00,0.00,4,780.00,,,1,0,1,,,approved,535,528,"2021-02-05 11:20:28","2021-03-02 11:42:51",1
18,"Repair Work",12,90,64,0,528,2021-02-16,,0,,4,7800.00,0.00,4,7800.00,,,0,0,7,,,approved,535,528,"2021-02-05 11:21:08","2021-03-02 11:43:02",1
19,"Service Charges",15,91,66,0,514,2021-02-16,,0,,4,742.00,0.00,4,742.00,,,1,0,4,,,submitted,528,528,"2021-02-05 12:29:33","2021-03-01 10:23:26",1
20,"Transport service charge",13,99,64,0,514,2021-02-24,,0,,4,741.00,0.00,4,741.00,,,0,0,1,,,saved,528,528,"2021-02-05 12:30:31","2021-02-05 12:30:36",0
21,Test1,15,0,0,0,11,2021-02-02,,0,,4,500.00,0.00,4,500.00,,,0,0,1,,,saved,593,0,"2021-02-08 06:58:33","2021-02-08 06:58:33",1
22,Test2,13,0,0,0,11,2021-02-03,,0,,4,200.00,0.00,4,200.00,,,0,0,1,,,saved,593,0,"2021-02-08 06:58:34","2021-02-08 06:58:34",1
23,Test1,15,0,0,0,518,2021-02-03,,0,,4,500.00,0.00,4,500.00,,,0,0,1,,,saved,586,0,"2021-02-12 11:12:11","2021-02-12 11:12:11",1
24,"Test Two",13,0,0,0,518,2021-02-02,,0,,4,200.00,0.00,4,200.00,,,0,0,4,INR45,,saved,586,0,"2021-02-12 11:12:12","2021-02-12 11:12:12",1
25,"Client Meet",12,0,0,0,483,2021-02-02,,0,,4,100.00,0.00,4,100.00,100.00,,0,1,1,,,approved,860,483,"2021-02-16 08:46:08","2021-02-16 09:15:06",1
26,"Client Meet 2",12,0,0,0,567,2021-02-03,,0,,4,110.00,0.00,4,110.00,100.00,,1,1,1,,,submitted,860,483,"2021-02-16 08:49:31","2021-02-16 09:21:44",1
27,"Air Travel",12,0,0,0,483,2021-02-04,,0,,4,30.00,0.00,4,30.00,30.00,,0,1,1,,,submitted,860,860,"2021-02-16 09:06:48","2021-02-16 09:07:35",1
28,"Air Travel 2",12,0,0,0,483,2021-02-05,,0,,4,50.00,0.00,4,50.00,50.00,,1,1,1,,,submitted,860,860,"2021-02-16 09:09:29","2021-02-16 09:10:07",1
29,"Air Travel 3",12,0,0,0,483,2021-02-08,,0,,4,230.00,0.00,4,230.00,220.00,,1,1,1,,,submitted,860,860,"2021-02-16 09:11:56","2021-02-16 09:12:29",1
30,R1,14,0,0,0,483,2021-01-05,,0,,4,100.00,0.00,4,100.00,,,0,0,1,,,saved,860,860,"2021-02-16 09:31:33","2021-02-16 13:28:45",0
31,R2,14,0,0,0,483,2021-01-05,,0,,4,200.00,0.00,4,200.00,,,0,0,4,,,saved,860,0,"2021-02-16 09:31:33","2021-02-16 09:31:33",1
32,R3,14,0,0,0,483,2021-01-05,,0,,4,300.00,0.00,4,300.00,,,0,0,7,,,saved,860,860,"2021-02-16 09:31:33","2021-02-16 13:28:51",0
33,R4,14,0,0,0,483,2021-01-05,,0,,4,400.00,0.00,4,400.00,,,0,0,3,,,submitted,860,860,"2021-02-16 09:31:34","2021-02-16 09:32:55",1
34,R5,14,0,0,0,483,2021-01-05,,0,,4,500.00,0.00,4,500.00,,,0,0,2,,,saved,860,860,"2021-02-16 09:31:34","2021-02-16 13:28:38",0
35,"Air Travel",13,0,0,0,2,2021-02-03,,0,,4,110.00,0.00,4,110.00,,,1,0,1,,,saved,483,0,"2021-02-18 13:06:14","2021-02-18 13:06:14",1
36,"Air Travel 5",13,0,0,0,2,2021-02-03,,0,,4,500.00,0.00,4,500.00,,,1,0,3,,,saved,483,0,"2021-02-18 13:06:26","2021-02-18 13:06:26",1
37,"Travel Expenses",13,0,0,0,2,2021-02-02,,0,,4,500.00,0.00,4,500.00,,,1,0,1,,,saved,483,483,"2021-02-18 13:07:00","2021-02-25 11:11:45",1
39,Test2,15,0,0,0,2,2021-02-02,,0,,4,200.00,0.00,4,200.00,,,0,0,1,,,saved,483,0,"2021-02-18 13:08:49","2021-02-18 13:08:49",1
40,Service,13,101,15,0,536,2021-02-18,,0,,4,712.00,0.00,4,712.00,,,1,0,1,,,approved,571,536,"2021-02-18 13:41:02","2021-02-18 13:51:35",1
41,"Label Check",13,0,0,11,483,2021-02-03,,0,,4,50.00,0.00,4,50.00,50.00,,0,1,4,,,submitted,860,860,"2021-02-19 04:02:16","2021-02-19 04:03:27",1
42,"Service Charges",13,92,64,0,0,2021-02-16,,0,,4,475.00,0.00,4,475.00,,,1,0,4,,,submitted,514,514,"2021-02-22 12:44:10","2021-03-02 07:49:33",1
43,"Air Travel 6",12,0,0,0,2,2021-02-09,,0,,4,500.00,0.00,4,500.00,,,1,0,4,,,saved,483,483,"2021-02-26 05:46:55","2021-02-26 05:53:34",1
44,Test1,15,0,0,0,2,2021-03-03,,0,,4,500.00,0.00,4,500.00,,,0,0,7,,,saved,483,0,"2021-03-01 07:32:04","2021-03-01 07:32:04",1
45,"Test Two",15,0,0,0,2,2021-03-02,,0,,4,2000.00,0.00,4,2000.00,,,0,0,1,,,saved,483,0,"2021-03-01 07:32:04","2021-03-01 07:32:04",1
46,Service,16,0,0,0,518,2021-03-01,,0,,4,4520.00,0.00,4,4520.00,,,0,0,1,4520,,saved,586,0,"2021-03-01 08:39:05","2021-03-01 08:39:05",1
47,"Service Charges",13,101,15,12,536,2021-03-08,,0,,4,452.00,0.00,4,452.00,452.00,,1,0,1,,,saved,571,571,"2021-03-01 10:08:50","2021-04-09 05:25:28",1
48,"Transport service charge",15,92,64,14,0,2021-03-01,,0,,4,712.00,0.00,4,712.00,,,1,0,1,,,submitted,514,514,"2021-03-01 10:11:00","2021-03-01 10:13:14",1
49,"Service Charges",16,0,0,0,514,2021-03-01,,0,,4,742.00,0.00,4,742.00,,,1,0,1,,,submitted,517,517,"2021-03-01 10:15:28","2021-03-01 10:15:39",1
50,Service,16,101,15,0,514,2021-03-01,,0,,4,500.00,0.00,4,500.00,500.00,,1,1,1,,,submitted,528,528,"2021-03-01 10:24:18","2021-03-01 10:24:30",1
51,Service,12,60,36,15,514,2021-01-04,,0,,4,7524.00,0.00,4,7524.00,,,1,0,1,,"Approved for Trip along with allowance. Approved for Trip along with allowance. Approved for Trip along with allowance. Approved for Trip along with allowance. Approved for Trip along with allowance. Approved for Trip along with allowance. Approved for Trip along with allowance. Approved for Trip along with allowance. Approved for Trip along with allowance. Approved for Trip along with allowance. Approved for Trip along with allowance. Approved for Trip along with allowance. Approved for Trip al",saved,586,0,"2021-03-01 12:52:26","2021-03-01 12:52:26",1
52,Service,12,0,0,16,514,2021-03-01,,0,,4,412.00,0.00,4,412.00,,,1,0,1,,,submitted,516,516,"2021-03-01 14:09:43","2021-03-01 14:09:54",1
53,"Service Charges",15,0,0,0,514,2021-03-10,,0,,4,71.00,0.00,4,71.00,,,1,0,4,,,saved,516,0,"2021-03-01 14:10:34","2021-03-01 14:10:34",1
54,Service3,13,0,0,0,514,2021-03-08,,0,,4,40.00,0.00,4,40.00,,,0,0,1,,,saved,516,0,"2021-03-01 14:15:44","2021-03-01 14:15:44",1
55,Expenses,15,101,15,0,536,2021-03-01,,0,,4,100.00,0.00,4,100.00,100.00,,1,1,1,,,approved,571,536,"2021-03-01 14:19:57","2021-03-02 05:32:57",1
56,Service3,13,92,64,19,0,2021-03-02,,0,,4,120.00,0.00,4,120.00,,,1,0,1,,,saved,514,0,"2021-03-02 07:51:56","2021-03-02 07:51:56",1
57,Ashwini,12,0,0,0,0,2021-03-02,,0,,4,1000.00,0.00,4,1000.00,,,0,0,1,,,saved,514,514,"2021-03-02 08:00:40","2021-03-03 08:52:19",0
58,Devi,13,0,0,0,0,2021-03-02,,0,,4,500.00,0.00,4,500.00,,,0,0,7,,,saved,514,514,"2021-03-02 08:00:40","2021-03-02 08:00:54",0
59,Devi,15,0,0,0,0,2021-03-03,,0,,4,1000.00,0.00,4,1000.00,,,0,0,1,,,saved,514,514,"2021-03-02 08:03:20","2021-03-02 08:03:31",0
60,Service1,14,92,64,20,0,2021-03-02,,0,,4,7.00,0.00,4,7.00,,,1,0,3,,,saved,514,0,"2021-03-02 08:06:45","2021-03-02 08:06:45",1
61,Service3,16,91,66,21,514,2021-03-02,,0,,4,2.00,0.00,4,2.00,2.00,,1,0,1,,,saved,528,528,"2021-03-02 08:59:32","2021-03-02 11:41:57",1
62,Ashwini,16,0,0,0,514,2021-03-01,,0,,4,1000.00,0.00,4,1000.00,,,0,0,1,,,saved,528,528,"2021-03-02 09:07:20","2021-03-02 09:07:26",0
63,Service3,16,99,64,0,528,2021-03-02,,0,,4,1100.00,0.00,4,1100.00,1000.00,,1,1,1,,,approved,535,528,"2021-03-02 11:46:16","2021-03-02 12:00:55",1
64,Service3,12,89,0,0,535,2021-03-02,,0,,4,500.00,0.00,4,500.00,,,1,0,7,,,saved,536,536,"2021-03-02 13:25:13","2021-03-02 13:25:22",0
65,Ashwini,16,0,0,0,535,2021-03-02,,0,,4,100.00,0.00,4,100.00,,,0,0,1,,,submitted,536,536,"2021-03-02 13:29:37","2021-03-02 13:29:52",1
66,Devi,13,0,0,0,535,2021-03-01,,0,,4,522.00,0.00,4,522.00,,,0,0,3,,,saved,536,536,"2021-03-02 13:29:38","2021-03-02 13:29:44",0
67,Service2,12,101,15,0,536,2021-03-02,,0,,4,11795.00,0.00,4,11795.00,11695.00,,1,1,1,,,submitted,571,571,"2021-03-02 14:16:30","2021-03-02 14:16:38",1
68,Service4,12,101,15,0,536,2021-03-02,,0,,4,500.00,0.00,4,500.00,0.00,,1,0,1,,,saved,571,571,"2021-03-02 14:34:30","2021-03-03 05:52:48",1
69,Test,15,103,68,0,435,2021-04-08,,0,,4,5000.00,0.00,4,5000.00,,,1,0,3,Test12345,,saved,582,582,"2021-04-08 11:02:22","2021-04-08 11:15:14",0
70,"Test 3214",14,103,68,0,435,2021-04-08,,0,,4,50000.00,0.00,4,50000.00,,,1,0,3,Test12345,testing,saved,582,582,"2021-04-08 11:11:38","2021-04-08 11:15:29",0
71,test,15,103,68,0,435,2021-04-09,,0,,4,333.00,0.00,4,333.00,,,1,0,7,,,saved,582,582,"2021-04-09 06:08:26","2021-04-09 06:40:57",1
72,Expense,16,0,0,0,514,2021-05-26,,0,,4,66.00,0.00,4,66.00,66.00,,1,0,7,45363,,saved,517,517,"2021-05-26 09:51:35","2021-05-26 09:58:18",0
73,Expense,16,0,0,0,514,2021-05-26,,0,,4,1.00,0.00,4,1.00,1.00,,1,0,7,,,saved,517,517,"2021-05-26 11:11:20","2021-05-26 11:13:34",0
74,Expense,16,0,0,0,514,2021-05-26,,0,,4,1.00,0.00,4,1.00,,,0,0,7,,,saved,517,517,"2021-05-26 11:47:07","2021-05-27 09:32:24",1
75,Monitor,13,0,0,0,18,2021-06-11,,0,,4,10000.00,0.00,4,10000.00,,,1,0,3,123456789,,saved,180,180,"2021-06-11 10:02:23","2021-06-11 10:03:17",0
76,"Monitor expense",14,0,0,0,18,2021-06-11,,0,,4,10000.00,0.00,4,10000.00,,,1,0,1,89656,,submitted,180,180,"2021-06-11 10:07:51","2021-06-15 08:33:21",1
78,"New Laptop Adaopter",16,0,0,0,18,2021-06-15,,0,,4,5000.00,0.00,4,5000.00,,,1,0,1,12390,,submitted,180,180,"2021-06-15 08:35:37","2021-06-15 08:35:49",1
79,"New Laptop Adaopter",16,0,0,0,18,2021-06-15,,0,,4,5000.00,0.00,4,5000.00,,,1,0,1,12390,,saved,180,0,"2021-06-15 15:05:46","2021-06-15 15:05:46",1
80,Monitor,17,0,0,0,514,2021-06-15,,0,,4,20000.00,0.00,4,20000.00,,,0,0,7,,,saved,528,0,"2021-06-15 15:11:33","2021-06-15 15:11:33",1
81,Testing,17,92,64,0,514,2021-06-30,,0,,4,1200.00,0.00,4,1200.00,,,0,0,1,,,saved,43,0,"2021-06-30 05:35:18","2021-06-30 05:35:18",1
82,"Onsite Expense",16,0,0,0,528,2021-07-06,,0,,4,10000.00,0.00,4,10000.00,,,1,0,1,,,approved,180,528,"2021-07-06 06:25:16","2021-07-06 06:37:09",1
83,Food,16,0,0,0,528,2021-07-06,,0,,4,5000.00,0.00,4,5000.00,5000.00,,1,1,1,,,approved,180,528,"2021-07-06 06:41:32","2021-07-06 06:42:15",1
84,Travel,16,0,0,0,528,2021-07-06,,0,,4,16000.00,0.00,4,16000.00,,,1,0,1,,,submitted,180,180,"2021-07-06 06:48:02","2021-07-06 06:48:18",1
85,"Travel to UK",12,0,0,0,528,2021-07-06,,0,,4,16000.00,0.00,4,16000.00,15000.00,,1,1,1,,,saved,180,0,"2021-07-06 06:49:51","2021-07-06 06:49:51",1
86,test,16,0,0,0,427,2021-08-14,,0,,4,1200.00,0.00,4,1200.00,,,1,0,1,,,submitted,512,512,"2021-08-14 04:14:53","2021-08-14 04:15:26",1
87,test,16,0,0,0,427,2021-08-14,,0,,4,1200.00,0.00,4,1200.00,,,1,0,1,,,submitted,512,512,"2021-08-14 04:16:28","2021-08-14 04:17:57",1
88,test,16,0,0,0,427,2021-08-15,,0,,4,1200.00,0.00,4,1200.00,,,1,0,1,,,submitted,512,512,"2021-08-15 00:28:28","2021-08-15 00:36:59",1
89,test,16,0,0,0,427,2021-08-15,,0,,4,1200.00,0.00,4,1200.00,,,1,0,1,,,saved,512,0,"2021-08-15 01:12:15","2021-08-15 01:12:15",1
90,"RO Drinking Water",21,0,0,0,2,2021-08-19,,0,,4,240.00,0.00,4,240.00,,,1,0,1,,"RO Drinking water",saved,113,113,"2021-08-19 09:40:26","2021-08-19 12:59:54",1
91,Snacks,19,0,0,0,585,2021-08-19,,0,,4,50.00,0.00,4,50.00,,,1,0,1,,Testing,saved,393,393,"2021-08-19 11:07:33","2021-08-19 11:08:35",0
92,computer,14,0,0,0,514,2021-09-11,,0,,4,2000.00,0.00,4,2000.00,,,1,0,10,,,approved,35,514,"2021-09-11 09:45:01","2021-09-15 12:03:32",1
93,monitor,14,109,89,0,916,2021-09-07,,0,,4,2000.00,0.00,4,2000.00,,,1,0,1,,na,approved,77,916,"2021-09-15 05:37:37","2021-09-17 11:05:34",1
94,mouse,13,109,89,0,514,2021-09-07,,0,,4,500.00,0.00,4,500.00,,,1,0,1,,na,approved,77,514,"2021-09-15 05:37:37","2021-09-15 12:04:22",1
95,charger,13,92,64,0,0,2021-09-08,,0,,4,1500.00,0.00,4,1500.00,,,1,0,9,,,submitted,514,514,"2021-09-15 08:44:26","2021-09-15 12:01:34",1
96,charger,13,109,89,0,77,2021-09-15,,0,,4,2500.00,0.00,4,2500.00,2000.00,,1,0,9,,,approved,35,77,"2021-09-15 10:29:46","2021-09-16 07:00:44",1
97,"goa trip",21,109,89,29,514,2021-09-25,,0,,4,15000.00,0.00,4,15000.00,,,1,0,1,,,approved,77,514,"2021-09-15 11:23:07","2021-09-15 12:02:34",1
98,"ooty trip",21,109,89,28,514,2021-09-11,,0,,4,8600.00,0.00,4,8600.00,0.00,,1,1,1,,,approved,35,514,"2021-09-15 11:26:11","2021-09-15 12:05:05",1
99,monitor,15,0,0,0,916,2021-09-16,,0,,4,2000.00,0.00,4,2000.00,,,1,0,3,,,approved,917,916,"2021-09-16 10:50:09","2021-09-17 11:02:16",1
100,"team out",21,0,0,30,916,2021-09-18,,0,,4,20000.00,0.00,4,20000.00,,,1,0,1,,,approved,917,916,"2021-09-16 11:00:04","2021-09-17 11:02:00",1
101,outing,21,0,0,31,514,2021-09-18,,0,,4,20000.00,0.00,4,20000.00,,,1,0,3,,,saved,916,0,"2021-09-17 11:07:21","2021-09-17 11:07:21",1
102,UPS,13,109,89,0,919,2021-09-20,,0,,4,2500.00,0.00,4,2500.00,,,1,0,8,,,approved,921,919,"2021-09-20 10:16:22","2021-09-21 05:48:25",1
103,charger,13,0,0,0,917,2021-09-20,,0,,4,2500.00,0.00,4,2500.00,,,1,0,3,,,approved,918,917,"2021-09-20 12:07:51","2021-12-05 08:07:08",1
104,koonor,21,0,0,32,917,2021-09-25,,0,,4,8600.00,0.00,4,8600.00,,,1,0,3,,,approved,918,917,"2021-09-20 12:20:11","2021-10-29 13:15:52",1
105,charger,13,109,89,0,918,2021-09-20,,0,,4,2500.00,0.00,4,2500.00,0.00,,1,1,3,,,approved,919,918,"2021-09-21 06:51:23","2021-09-21 11:38:04",1
106,mouse,13,0,0,0,917,2021-09-21,,0,,4,1500.00,0.00,4,1500.00,1500.00,,1,1,3,,,approved,918,917,"2021-09-21 11:40:19","2021-10-29 13:15:40",1
107,charger,15,109,89,0,77,2021-10-01,,0,,4,2500.00,0.00,4,2500.00,,,1,0,3,,,submitted,917,917,"2021-10-01 08:24:19","2021-12-05 08:18:38",1
108,charger,13,109,89,0,916,2021-10-15,1.00,4,1500.00,4,1500.00,0.00,4,1500.00,,,1,0,10,,,submitted,77,77,"2021-10-15 08:57:00","2021-10-18 11:25:39",1
109,monitor,15,109,89,0,514,2021-10-15,1.00,4,2500.00,4,2500.00,0.00,4,2500.00,,,1,0,3,,,saved,916,0,"2021-10-15 09:11:18","2021-10-15 09:11:18",1
110,keyboard,13,109,89,0,77,2021-10-15,2.00,4,500.00,4,1000.00,0.00,4,1000.00,,,1,0,3,,,approved,917,77,"2021-10-15 11:31:27","2021-11-08 12:13:20",1
111,accessories,13,109,89,0,77,2021-10-15,1.00,4,500.00,4,500.00,0.00,4,500.00,,,1,0,3,,,approved,917,77,"2021-10-15 11:41:37","2021-10-18 14:35:41",1
112,mouse,13,109,89,0,916,2021-10-19,1.00,4,500.00,4,500.00,0.00,4,500.00,,,1,0,3,,,submitted,77,77,"2021-10-18 14:32:12","2021-10-18 14:33:07",1
113,gadgets,13,0,0,0,916,2021-10-19,,0,,4,2500.00,0.00,4,2500.00,,,0,0,3,,,saved,77,0,"2021-10-19 11:34:02","2021-10-19 11:34:02",1
115,monitor,14,109,89,0,919,2021-10-27,1.00,0,500.00,4,500.00,0.00,4,500.00,,,0,0,10,,,rejected,921,919,"2021-10-27 11:02:14","2021-10-28 13:34:15",1
116,monitor,14,109,89,0,919,2021-10-27,1.00,0,500.00,4,500.00,0.00,4,500.00,,,1,0,10,,,paid,921,920,"2021-10-27 11:58:49","2021-10-28 15:25:12",1
117,"usb cable",13,109,89,0,919,2021-10-27,1.00,0,100.00,4,100.00,0.00,4,100.00,,,1,0,10,,,paid,921,920,"2021-10-27 11:58:49","2021-10-28 15:24:30",1
118,gadgets,23,109,89,0,919,2021-10-27,1.00,0,500.00,4,500.00,0.00,4,500.00,,,1,0,10,,,rejectedFND,921,920,"2021-10-27 12:00:05","2021-10-28 15:56:15",1
119,mouse,13,109,89,0,919,2021-10-27,1.00,0,500.00,4,500.00,0.00,4,500.00,,,1,0,10,,,approved,921,919,"2021-10-27 12:00:05","2021-10-28 13:30:05",1
120,monitor,13,109,89,0,918,2021-10-28,8.00,0,3000.00,4,24000.00,0.00,4,24000.00,,,1,0,3,,,paid,919,920,"2021-10-28 12:57:20","2021-11-01 05:54:58",1
121,monitor,13,109,89,0,918,2021-10-28,1.00,0,1000.00,4,1000.00,0.00,4,1000.00,,,1,0,3,,,approved,919,918,"2021-10-28 13:07:31","2021-10-29 11:15:54",1
122,mouse,23,109,89,0,918,2021-10-28,3.00,0,500.00,4,1500.00,0.00,4,1500.00,,,1,0,3,,,approved,919,918,"2021-10-28 13:07:32","2021-10-29 11:07:06",1
123,usb,13,109,89,0,918,2021-10-28,2.00,0,200.00,4,400.00,0.00,4,400.00,,,1,0,3,,,approved,919,918,"2021-10-28 13:07:32","2021-10-29 11:14:30",1
124,headset,23,109,89,0,918,2021-10-28,2.00,0,2000.00,4,4000.00,0.00,4,4000.00,,,1,0,3,,,approved,919,918,"2021-10-28 13:07:32","2021-10-29 11:14:46",1
125,charger,13,109,89,0,918,2021-10-28,3.00,0,2500.00,4,7500.00,0.00,4,7500.00,,,1,0,3,,,approved,919,918,"2021-10-28 13:07:32","2021-10-29 11:15:22",1
126,keyboard,13,109,89,0,918,2021-10-28,2.00,0,1500.00,4,3000.00,0.00,4,3000.00,,,1,0,3,,,approved,919,918,"2021-10-28 13:07:32","2021-10-29 11:15:36",1
127,monitor,13,109,89,0,916,2021-10-28,2.00,0,2333.00,4,4666.00,0.00,4,4666.00,,,1,0,3,,,submitted,920,0,"2021-10-28 14:02:11","2021-10-28 14:02:11",1
128,gadgets,23,0,0,0,917,2021-10-29,1.00,0,500.00,4,500.00,0.00,4,500.00,,,1,0,3,,,approved,918,917,"2021-10-29 11:13:44","2021-10-29 13:13:51",1
129,"usb cable",13,0,0,0,917,2021-10-29,1.00,0,100.00,4,100.00,0.00,4,100.00,100.00,,1,1,10,,,paid,918,920,"2021-10-29 11:13:44","2021-11-30 15:39:22",1
130,Laptop,17,109,89,0,77,2021-10-29,1.00,0,35000.00,4,35000.00,0.00,4,35000.00,,,1,0,3,,,approved,917,77,"2021-10-29 13:55:10","2021-11-08 12:13:07",1
131,Laptop,17,96,78,0,0,2021-11-01,1.00,0,6000.00,4,6000.00,0.00,4,6000.00,,,1,0,3,,,paid,514,920,"2021-11-01 05:36:45","2021-11-01 05:47:47",1
132,monitor,13,109,89,0,918,2021-11-01,1.00,0,2000.00,4,2000.00,0.00,4,2000.00,,,1,0,3,,,paid,919,920,"2021-11-01 06:00:51","2021-11-01 06:06:06",1
133,keyboard,13,109,89,0,918,2021-11-01,2.00,0,800.00,4,1600.00,0.00,4,1600.00,,,1,0,3,,,approved,919,918,"2021-11-01 06:11:20","2021-11-09 11:45:44",1
134,mouse,13,109,89,0,918,2021-11-01,3.00,0,500.00,4,1500.00,0.00,4,1500.00,,,1,0,3,,,approved,919,918,"2021-11-01 06:11:20","2021-11-09 11:45:25",1
135,usb,13,109,89,0,918,2021-11-01,2.00,0,200.00,4,400.00,0.00,4,400.00,,,1,0,3,,,approved,919,918,"2021-11-01 06:11:21","2021-11-09 11:46:18",1
136,gadgets,23,96,78,0,0,2021-11-01,1.00,0,500.00,4,500.00,0.00,4,500.00,,,1,0,3,,,paid,514,920,"2021-11-01 06:13:38","2021-11-01 06:14:13",1
137,keyboard,13,109,89,0,918,2022-04-04,0.00,0,-500.00,4,0.00,0.00,4,0.00,,,1,0,3,,,approved,919,918,"2021-11-01 06:22:01","2021-11-09 11:46:00",1
138,gadgets,15,109,89,0,916,2027-08-17,-6.00,0,500.00,4,-3000.00,0.00,4,-3000.00,,,1,0,8,,,submitted,920,0,"2021-11-01 08:26:50","2021-11-01 08:26:50",1
139,monitor,13,109,89,0,916,2031-12-31,-9.00,0,-250.00,4,2250.00,0.00,4,2250.00,,,1,0,2,,,approved,920,916,"2021-11-01 08:27:43","2021-11-01 13:01:17",1
140,monitor,22,109,89,0,916,2021-11-08,250.00,0,2000.00,4,500000.00,0.00,4,500000.00,,,1,0,10,,,paid,77,920,"2021-11-08 11:59:03","2021-11-08 12:30:33",1
141,gadgets,23,109,89,0,916,2021-11-15,1.00,0,500.00,4,500.00,0.00,4,500.00,,,1,0,10,,,paid,77,920,"2021-11-08 12:01:12","2021-11-08 12:29:05",1
142,keybord,13,109,89,0,916,2021-11-09,5.00,0,899.00,4,4495.00,0.00,4,4495.00,,,1,0,3,,,paid,920,920,"2021-11-08 12:33:45","2021-11-08 12:35:11",1
143,mouse,23,109,89,0,916,2021-11-08,2.00,0,633.00,4,1266.00,0.00,4,1266.00,,,1,0,3,,,paid,920,920,"2021-11-08 12:33:45","2021-11-08 12:35:00",1
144," monitor",23,92,64,0,0,2021-11-10,1.00,0,500.00,4,500.00,0.00,4,500.00,,,1,0,3,,,paid,514,920,"2021-11-10 07:54:01","2021-11-10 08:13:43",1
145,keyboard,13,109,89,0,918,2021-11-10,1.00,0,500.00,4,500.00,0.00,4,500.00,,,1,0,4,,,submitted,919,0,"2021-11-10 08:18:39","2021-11-10 08:18:39",1
146,gadgets,23,109,89,0,77,2021-12-06,1.00,0,500.00,4,500.00,0.00,4,500.00,500.00,,1,1,9,,,submitted,917,0,"2021-11-27 13:14:20","2021-11-27 13:14:20",1
